,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,pgKu0NxYMzE,18.14.02,SOMO:LEKETCHOU A BUNDISI KEN MPIANA NA EMISSION YA BIBI KAPINGA,MA MISSION TV,22,2018-02-12T20:25:15.000Z,"Ntanga Nsongi""|""EYINDA KITOKOLILE""|""congomikiliMTL m""|""MUKELENGE""|""Asso Brady""|""+243Londres""|""TheVoiceOfCongo""|""congonumber1.com""|""OPQNews""|""AgenceCongoPresse""|""MediaPress InternationalRDC""|""Le Prix Nsango""|""CONGO ELENGI officiel""|""CN1NEWS congonumber1 TV""|""RDCongoInfos.com""|""Prince Mpata""|""caferume""|""congofrance""|""Succé de Stars Africa""|""sangoyacongotv""|""24HeureNews""|""Chaîne de Stars Médias People""|""b-one CongoTV""|""Lingala Facile Direktv",29633,318,138,529,https://i.ytimg.com/vi/pgKu0NxYMzE/default.jpg,False,False,False
11,ycuMyyqBWQY,18.14.02,Interviewing the Head of YouTube Business,CaseyNeistat,22,2018-02-12T15:06:57.000Z,"youtube interview""|""casey neistat interview""|""robert kyncl interview""|""youtube boss""|""susan ceo""|""demonetized""|""logan paul""|""youtube drama""|""sensationalism""|""adpocolypse",2861233,156136,8312,15574,https://i.ytimg.com/vi/ycuMyyqBWQY/default.jpg,False,False,False
12,O9ytcNVzX1o,18.14.02,"LE MEILLEUR A VÉLO ? (Tibo Inshape, IBRA TV, GAMEMIXTREIZE, ...)",Aurelien Fontenoy,17,2018-02-12T16:30:01.000Z,"aurelien fontenoy""|""aurelienfontenoy""|""fontenoyaurel""|""velo""|""bmx""|""vtt""|""mtb""|""mountainbike""|""défi""|""challenge""|""tibo inshape""|""ibra""|""ibra tv""|""gamemixtreize""|""swan et néo""|""sean garnier""|""le meilleur""|""meilleur sur un vélo",227432,9634,145,1747,https://i.ytimg.com/vi/O9ytcNVzX1o/default.jpg,False,False,False
13,vTGS_WncSK4,18.14.02,SI LE REAL ELIMINE LE PSG JE VOUS PROMET DE .............,Les Vidéos de Riles,24,2018-02-13T17:07:40.000Z,"real madrid""|""psg""|""paris""|""real""|""match""|""8eme""|""bernabeu""|""parc des princes""|""pronostique""|""analyse""|""riles""|""les videos de riles""|""football""|""mercato""|""Les Vidéos de Riles""|""promet""|""elimine""|""actualités""|""elimination""|""qualification""|""buteur""|""penalty""|""penaltie""|""neymar""|""ronaldo""|""mbappe""|""benzema""|""areola""|""trapp""|""zidane""|""di maria""|""verratti""|""lass",50013,3332,212,2265,https://i.ytimg.com/vi/vTGS_WncSK4/default.jpg,False,False,False
14,0yU6hQujgng,18.14.02,Top 10 des TWISTS les plus SUPRENANTS de DISNEY !,WatchMojo Français,24,2018-02-11T11:00:00.000Z,"twist""|""retournement situation""|""Disney""|""dessin animé""|""enfants""|""héros""|""héroïne""|""Frère des Ours""|""Coco""|""les nouveaux héros""|""Hercule""|""Bienvenue chez les Robinson""|""Raiponce""|""les mondes de ralph""|""Zootopie""|""Vaiana : La Légende du bout du monde""|""La Reine des Neiges""|""Top 10""|""WatchMojo""|""watchmojo français""|""FR""|""français",285720,4858,349,267,https://i.ytimg.com/vi/0yU6hQujgng/default.jpg,False,False,False
15,nNwtRL5BV3s,18.14.02,TOP 1 AVEC LE NOUVEAU SKINS  FORTNITE BATTLE ROYALE,DavidK,20,2018-02-13T23:50:05.000Z,"fortnite ps4""|""live fortnite""|""fortnite pc""|""top 1 fortnite""|""fortnite battle royale""|""glitch fortnite""|""sauver le monde fortnite""|""fortnite gratuit""|""fortnite ninja""|""map fortnite""|""fortnite""|""battle royal fortnite""|""fortnite tuto""|""fortnite sniper""|""spot fortnite""|""minigun fortnite""|""fortnite minigun",23682,1465,90,10,https://i.ytimg.com/vi/nNwtRL5BV3s/default.jpg,False,False,False
16,H606rDCYmyE,18.14.02,LES 12 COUPS DE MIDI  L'AVION QUI NOUS A MIS LE DOUTE MAIS,LE CHRONISHIRT,25,2018-02-12T12:26:54.000Z,"LES 12 COUPS DE MIDI""|""PHILIPPE TORRETON""|""INDICE""|""12 COUPS DE MIDI ETOILE MYSTERIEUSE""|""etoile mystérieuse",27814,81,248,68,https://i.ytimg.com/vi/H606rDCYmyE/default.jpg,False,False,False
17,8XxAcl8ONF0,18.14.02,Shaka Ponk - Smells Like Teen Spirit [Audio officiel],Shaka Ponk,10,2018-02-13T12:12:39.000Z,"Shaka Ponk""|""Smells Like Teen Spirit""|""tôt Ou tard""|""Rock""|""Nirvana",12322,1292,28,125,https://i.ytimg.com/vi/8XxAcl8ONF0/default.jpg,False,False,False
18,pno05PqD_AY,18.14.02,Lespada - Wine (Clip Officiel),Lespada Officiel,10,2018-02-13T10:59:52.000Z,"lespada""|""wine""|""wyne""|""dutty wine""|""haiti""|""93""|""joe dwet file""|""joe""|""larry evans""|""curtis""|""kane""|""curtis kane""|""df empire""|""df""|""empire""|""rap""|""afro""|""beatz""|""beat""|""dancehall""|""groove""|""rnb""|""r nb""|""noir""|""drapeau haitien""|""lunettes""|""tube""|""toi et moi""|""bon qu'a ca""|""lesspada""|""l espada",16545,1624,18,44,https://i.ytimg.com/vi/pno05PqD_AY/default.jpg,False,False,False
19,h9kO2tYhv4s,18.14.02,DANS LA GOVA avec Les Déguns | Tonio Life,Booska-P.com,24,2018-02-12T18:01:49.000Z,"Tonio Life""|""Les Déguns""|""Booskap91""|""Fianso""|""Soolking""|""Naza""|""YL""|""Alonzo""|""Entertainment""|""booska-p""|""booska""|""booskap""|""rap français""|""french rap""|""freestyle""|""live""|""clips rap""|""clip rap français""|""interviews""|""rappeur""|""hip-hop",177617,10101,193,504,https://i.ytimg.com/vi/h9kO2tYhv4s/default.jpg,False,False,False
20,Gp5xGuZeN4g,18.14.02,Balance Ton Poste,Marjorie Le Noan,23,2018-02-13T17:27:39.000Z,"marjorie le noan""|""le pérave""|""me too""|""balance ton porc""|""harcèlement sexuel",11332,2343,20,54,https://i.ytimg.com/vi/Gp5xGuZeN4g/default.jpg,False,False,False
21,diB8l9EcKk8,18.14.02,"« Petite profi­teuse », « le masque tombe », « c'est écœu­rant » : Laeti­cia Hally­day violem­ment a",Top Tendance 2,22,2018-02-12T16:00:16.000Z,"Daily news""|""Hot news""|""Gossip news""|""youtube""|""Quotidien""|""Actualité Laeticia Hallyday""|""Johnny Hallyday""|""commentaires""|""Instagram""|""testament""|""Succession""|""héritage",29441,71,39,129,https://i.ytimg.com/vi/diB8l9EcKk8/default.jpg,False,False,False
22,e1bEWoblGZA,18.14.02,unboxing video,bill wurtz,22,2018-02-13T20:30:00.000Z,bill wurtz,559257,81952,1508,5008,https://i.ytimg.com/vi/e1bEWoblGZA/default.jpg,False,False,False
23,csIWWQfhe9w,18.14.02,"Dopé un jour, dopé toujours ! La mémoire musculaire existe !",All Musculation,17,2018-02-13T17:00:03.000Z,"foenix""|""allmusculation""|""all-musculation""|""allmuscu""|""all-muscu""|""musculation""|""culturisme""|""bodybuilding""|""fitness""|""fit""|""sport""|""health""|""santé""|""bien-être""|""muscle""|""se muscler""|""training""|""entrainement""|""workout""|""strength training""|""weight training""|""crossift""|""body""|""muscu""|""fitfrenchies""|""nopainnogain""|""motivation""|""exercice""|""programme""|""diététique""|""nutrition""|""compléments alimentaires""|""protéines""|""whey protéines""|""créatine""|""diete""|""diet""|""Dopage""|""mémoire musculaire""|""dope",8027,838,25,159,https://i.ytimg.com/vi/csIWWQfhe9w/default.jpg,False,False,False
24,_Zek74IyTl0,18.14.02,REAL-PSG: LE ONZE IDEAL POUR BATTRE LE REAL,PENTA FOOT,22,2018-02-12T22:08:11.000Z,[none],17970,164,25,58,https://i.ytimg.com/vi/_Zek74IyTl0/default.jpg,False,False,False
25,x-V7MNe0JVE,18.14.02,Vu du 13/02/18,VU France2,25,2018-02-13T17:00:25.000Z,"Vu""|""lezapping""|""France2",6105,45,0,1,https://i.ytimg.com/vi/x-V7MNe0JVE/default.jpg,False,False,False
26,t3HFob5pC3g,18.14.02,DADJU - Mafuzzy Style (Clip Officiel),DADJU,10,2018-02-11T14:03:56.000Z,"dadju""|""mafuzzy style""|""gentleman""|""gentleman 2.0""|""intro""|""lionne""|""deja trouve""|""oublie le""|""trouvez la moi""|""reine""|""jenny""|""bob marley""|""sous controle""|""deja donne""|""j'ai dit non""|""par amour""|""monica""|""PTD""|""django""|""intuition""|""ma fierte""|""comme si de rien n'etait""|""seconde chance""|""keblack""|""fally ipupa""|""s pri noir""|""niska""|""maitre gims""|""franglish""|""alonzo""|""trace tv""|""trace urban",1051103,49979,711,1628,https://i.ytimg.com/vi/t3HFob5pC3g/default.jpg,False,False,False
27,H46cs13fpN0,18.14.02,SISTER SISTER — ALLER CHEZ UN•E PSY,madmoiZelle,24,2018-02-13T18:04:39.000Z,"féminisme""|""madmoizelle""|""madmoizelle.com""|""madz""|""mademoizelle""|""mademoizelle.com""|""marion séclin""|""marion seclin""|""street tattoos""|""street tatoo""|""street style""|""VOIR PSY""|""psychologue""|""psychothérapie""|""étude psychologie""|""pourquoi voir psy""|""premiere scéance psy",9984,470,8,46,https://i.ytimg.com/vi/H46cs13fpN0/default.jpg,False,False,False
28,zIfwaU3S2VM,18.14.02,வாணி ராணி - VAANI RANI -  Episode 1491 - 13/02/2018,RadaanMedia,24,2018-02-13T16:30:01.000Z,"Vaani rani""|""rani""|""Radhika in funny character""|""venu aravind""|""SunTV""|""VaniRani""|""vani""|""vaani""|""Radhika's dual role serial""|""Ranimma veetu kuripu""|""Radhika as lawyer in serial""|""radikaa""|""rathika""|""Radhika's new",326683,1854,441,206,https://i.ytimg.com/vi/zIfwaU3S2VM/default.jpg,False,False,False
29,7LtbHO65x2I,18.14.02,Zoom rubrique // Mardi : MODE !,Georgette Mag,15,2018-02-13T21:02:41.000Z,"georgette mag""|""equestrian""|""horse""|""pony""|""equestrian style""|""mode""|""affaires equitation""|""equitation""|""lookbook",1477,267,2,18,https://i.ytimg.com/vi/7LtbHO65x2I/default.jpg,False,False,False
30,yZzZKTNjR84,18.14.02,"« petite profi­teuse », « le masque tombe », « c'est écœu­rant » : laeti­cia hally­day violem­ment",News Show,24,2018-02-12T16:31:51.000Z,"« petite profi­teuse » « le""|""profi­teuse » « le masque""|""« le masque tombe »""|""masque tombe » « cest""|""tombe » « cest écœu­rant » ""|""« cest écœu­rant »  laeti­cia""|""écœu­rant »  laeti­cia hally­day""|""laeti­cia hally­day violem­ment""|""hally­day violem­ment attaquée""|""violem­ment attaquée par""|""attaquée par les""|""nouvell",80684,194,198,187,https://i.ytimg.com/vi/yZzZKTNjR84/default.jpg,False,False,False
31,Y-rneFpG-wc,18.14.02,7 astuces qui facilitent la vie avec un smartphone,TheiCollection,28,2018-02-13T16:59:59.000Z,"Astuces""|""Tips""|""Life""|""Hacks""|""TheiCollection""|""Smartphone""|""Apple""|""Samsung""|""iPhone""|""JB""|""Facile""|""Tuto""|""Homemade""|""Nouvelle""|""technologie""|""paille""|""Snapchat""|""lunette snapchat""|""Android""|""iOS""|""Gentil""|""Garçon",51978,3859,761,485,https://i.ytimg.com/vi/Y-rneFpG-wc/default.jpg,False,False,False
32,BsrCoQiZGA4,18.14.02,"Les Princes et les Princesses de l’Amour – Episode 51, Vidéo du 12 Février 2018",Coco's Pony games,1,2018-02-12T20:09:45.000Z,[none],60477,141,27,18,https://i.ytimg.com/vi/BsrCoQiZGA4/default.jpg,False,False,False
33,48qS87hkgkQ,18.14.02,"VALD & SEEZY (Xeu, succès, Migos, Dieu...) - #LaSauce Sur OKLM Radio 08/02/18",OKLMofficial,24,2018-02-13T19:59:59.000Z,"Vald""|""Entertainment""|""OKLMofficial""|""oklm""|""booba""|""musique""|""rap""|""hiphop""|""freestyle""|""interview""|""humour""|""clip""|""XEU""|""SEEZY""|""AMINE ET HUGO""|""AMINE""|""HUGO""|""MEHDI MAIZI""|""INTERVIEW""|""DESACCORDE""|""AGARTHA",17222,1074,6,114,https://i.ytimg.com/vi/48qS87hkgkQ/default.jpg,False,False,False
34,8EIHZ0UYUYo,18.14.02,Crime passionnel : quand la jalousie mène au crime,Ça commence aujourd'hui,24,2018-02-13T14:00:00.000Z,"replay""|""ça commence aujourd'hui""|""faustine bollaert""|""france 2""|""france télévisions""|""témoignage""|""destin""|""émission de télévision""|""réservoir prod""|""toute une histoire""|""c'est mon choix""|""ça se discute""|""dispute""|""émotion""|""clash""|""confessions intimes""|""tellement vrai""|""crime""|""amour""|""passion""|""crime passionnel""|""alexia daval""|""jonathan""|""jonathann""|""daval""|""meurtre""|""crimes""|""jalousie""|""jaloux""|""divorce""|""séparation""|""relation""|""famille""|""massacre""|""pervers narcissique""|""manipulateur",11990,177,8,31,https://i.ytimg.com/vi/8EIHZ0UYUYo/default.jpg,False,False,False
35,yXBnuVHn5_4,18.14.02,👌الوصفة التي يبحث عنها الملايين (ميلفاي تركي) مورق بدون عجين مورق ولا مجهود لن تستغني عنه بعد اليوم,oum yasser ام ياسر,22,2018-02-13T12:51:13.000Z,[none],201199,7240,300,629,https://i.ytimg.com/vi/yXBnuVHn5_4/default.jpg,False,False,False
36,sxll1jseIHo,18.14.02,Recette facile de Papillote de Cabillaud au Saumon fumé,Picard Surgelés,26,2018-02-02T09:51:07.000Z,"recette papillote""|""recette cabillaud""|""recette saumon fumé""|""recette saint valentin""|""recette facile poisson""|""recette facile poisson four",25511,58,69,28,https://i.ytimg.com/vi/sxll1jseIHo/default.jpg,False,False,False
37,w3WFJcC4XU0,18.14.02,5 ÉPÉES les plus FASCINANTES DE L'HISTOIRE,Trash,27,2018-02-11T16:30:02.000Z,"Trash""|""épées""|""fascinantes""|""histoire""|""épée""|""5 épées""|""trasheurs""|""culture""|""bronol""|""mythe""|""légende""|""légendaire""|""lame""|""excalibur""|""kusanagi""|""japon""|""fantaisie""|""fantasy""|""ico""|""muramasa""|""masamune""|""katana""|""conte",488794,28178,649,5305,https://i.ytimg.com/vi/w3WFJcC4XU0/default.jpg,False,False,False
38,aK_CARKwtLA,18.14.02,20h Foot du 13/02/2018,CNEWS,25,2018-02-13T20:19:34.000Z,#20hFoot,14224,111,21,32,https://i.ytimg.com/vi/aK_CARKwtLA/default.jpg,False,False,False
39,IgcO8NYnB3o,18.14.02,"Priyamanaval  Episode 938, 13/02/18",VikatanTV,24,2018-02-13T17:00:02.000Z,"Priyamanaval 13.02.2018""|""priyamanaval 938""|""Priyamanaval 13 february 2018""|""priyamanaval serial 13.02.18""|""priyamanaval serial""|""piriyamanaval""|""பிரியமானவள்""|""priyamanaval episode""|""periyamanaval""|""Priyamanaval today Episode""|""Priyamanaval episode today""|""Priyamanaval today""|""priyamanaval episode 932",300575,1629,778,183,https://i.ytimg.com/vi/IgcO8NYnB3o/default.jpg,False,False,False
40,Yt84ph_ETcg,18.14.02,[Zap Actu] La famille Hallyday se déchire autour du testament de Johnny (13/02/2018),Zap Télé,24,2018-02-13T06:00:01.000Z,"2C COM""|""zap tele""|""Entertainment""|""HULOT""|""DARMANIN""|""CAHUZAC""|""PROCES""|""TRIBUNAL""|""AFFAIRES""|""FRAUDE""|""LOURDES""|""MIRACLE""|""SAINTE""|""NAUFRAGE""|""PENICHE""|""LECORBUSIER""|""JOHNNY""|""HALLYDAY""|""MACRON""|""CHINE""|""INCENDIE""|""ZAP""|""ZAPPING""|""BEST OF""|""dernier zapping""|""zap-tele""|""zaptele""|""zaptele.com""|""zappings""|""zapping aujourdh'ui""|""zap actu""|""zap télévision""|""zapping tele",64419,294,23,180,https://i.ytimg.com/vi/Yt84ph_ETcg/default.jpg,False,False,False
41,nP1JL8KQgNE,18.14.02,Ligue des Champions ou St Valentin ? - Catherine et Liliane - CANAL+,Catherine et Liliane,24,2018-02-12T20:24:59.000Z,"Canal+""|""canalplus""|""Catherine et liliane""|""Catherine""|""liliane""|""alex lutz""|""bruno sanches""|""CANAL""|""LIGUE DES CHAMPIONS""|""CANAL+""|""PARIS SAINT GERMAIN""|""PSG""|""PARC DES PRINCES""|""SUPRAS AUTEUIL""|""CHANT SUPPORTEURS""|""NEYMAR""|""MBAPPE",15067,326,17,12,https://i.ytimg.com/vi/nP1JL8KQgNE/default.jpg,False,False,False
42,YtCb8JkTyzw,18.14.02,Take A Mic - Strict Minimum 5,Take A Mic,10,2018-02-13T17:56:43.000Z,[none],72645,8016,61,476,https://i.ytimg.com/vi/YtCb8JkTyzw/default.jpg,False,False,False
43,vLWSwqWpwK4,18.14.02,Pourquoi Johnny Hallyday a décidé de déshériter David et Laura Smet de son testament,koi de 9,24,2018-02-12T16:29:17.000Z,"Johnny Hallyday""|""Laura Smet""|""David Hallyday",20699,37,44,67,https://i.ytimg.com/vi/vLWSwqWpwK4/default.jpg,False,False,False
44,RySZ6vHag8U,18.14.02,Droit de réponse à Affou Keita et Laurent Dona Fologo/ Johnny patcheko,PREVIOUSLY IN JOHNNY PATCHEKO WORLD,22,2018-02-13T20:53:43.000Z,Johnny patcheko/ Affou Keita/ Laurent Dona Fologo/ Simone Ehivet Gbagbo,7432,347,25,126,https://i.ytimg.com/vi/RySZ6vHag8U/default.jpg,False,False,False
45,RLha0NY7aY0,18.14.02,Cette femme énervée crie sur des enfants alors qu'ils n'ont rien fait...,Forlan TV,22,2018-02-13T18:44:15.000Z,"reaction""|""femme""|""femme énervé""|""femme énervée""|""femme énervée au volant""|""maman""|""enfant""|""se faire gronder""|""comment ne pas se faire gronder""|""maman qui tape""|""maman énervée""|""enerve""|""venere""|""femme qui crie""|""crie de rage""|""rage""|""road rage""|""voiture""|""road rage fr""|""compilation""|""femme qui gueule""|""ta gueule""|""crier""|""crier fort""|""enervement""|""enervement en direct""|""s'engueuler""|""engueuler""|""parents""|""engueuler par ses parents",8311,1279,68,941,https://i.ytimg.com/vi/RLha0NY7aY0/default.jpg,False,False,False
46,xcuVh80dPqo,18.14.02,"John Cena vs. The Miz - Loser Enters the Elimination Chamber First: Raw, Feb. 12, 2018",WWE,17,2018-02-13T02:34:47.000Z,"wwe""|""world wrestling entertainment""|""wrestling""|""wrestler""|""wrestle""|""superstars""|""कुश्ती""|""पहलवान""|""डब्लू डब्लू ई""|""मैच""|""सुपरस्टार""|""व्यावसायिक कुश्ती""|""مصارعه""|""Raw""|""John Cena""|""The Miz""|""sp:ty=high""|""sp:st=wrestling""|""sp:scp=athlete_in_match""|""sp:dt=2018-02-12T20:00:00-04:00""|""sp:ev=wwe-raw""|""sp:ath=wwe-thmiz""|""sp:ath=wwe-jonce""|""elimination""|""chamber""|""wwe elimination chamber 2018""|""elimination chamber 2018""|""elimination chamber""|""wwe raw highlights""|""wwe raw""|""monday night raw""|""wwe elimination chamber",1732411,39631,1165,3184,https://i.ytimg.com/vi/xcuVh80dPqo/default.jpg,False,False,False
47,zjtbjm-k4dY,18.14.02,Música romántica baladas en inglés todo el tiempo -- Música pop para trabajar alegre y concentrarse,Encanta Música,10,2018-02-12T15:13:55.000Z,"Música""|""POP""|""POP en Inglés""|""Música POP en Inglés""|""Baladas""|""Romantica""|""musica en ingles""|""musica pop para trabajar en la oficina""|""canciones en ingles""|""pop para trabajar""|""musica pop""|""musica en ingles romantica""|""música en inglés""|""musica romantica en ingles""|""musica pop para trabajar""|""baladas romanticas""|""baladas en ingles""|""Música romántica baladas""|""Música romántica baladas en inglés todo el tiempo""|""Música pop para trabajar alegre y concentrarse""|""Encanta Música",583542,1126,385,65,https://i.ytimg.com/vi/zjtbjm-k4dY/default.jpg,False,False,False
48,teFOv09XC5U,18.14.02,FRED ET JAMY RECHERCHENT LE RESPECT !!!,"David, de la chaîne Ganesh2",23,2018-02-13T17:00:05.000Z,"Ganesh2""|""David Chabant""|""Comedy",59881,9421,41,349,https://i.ytimg.com/vi/teFOv09XC5U/default.jpg,False,False,False
49,nAgene4djwE,18.14.02,Macron : des élections européennes taillées sur mesure - Journal du Mardi 13 Février 2018,TVLibertés,25,2018-02-13T17:30:01.000Z,"Réinformation""|""élections européennes""|""Emmanuel Macron""|""En Marche""|""cyberattaque""|""Saint-Gobain""|""piratage""|""télévision publique""|""publicité""|""france télévision""|""corée du sud""|""jeux olympiques""|""Pyeongchang""|""Michel Déon""|""Anne Hidalgo""|""braconnier""|""Alexis Pinturault""|""LREM""|""Jean-Luc Mélenchon",8418,252,5,74,https://i.ytimg.com/vi/nAgene4djwE/default.jpg,False,False,False
50,bC-lxgkrgh0,18.14.02,Demande en mariage,D. Ace Officiel,10,2018-02-13T17:00:02.000Z,"D.ACE""|""HIP HOP""|""4 MINUTES""|""FREESTYLE POULET",92542,10110,83,489,https://i.ytimg.com/vi/bC-lxgkrgh0/default.jpg,False,False,False
51,dniOUQAa1RA,18.14.02,FUT FR FIFA 18 ACHAT REVENTE / INVESTISSEMENT POTM AGUERO,kad 2mars,20,2018-02-14T04:43:13.000Z,"#PS4Live""|""PlayStation 4""|""Sony Interactive Entertainment""|""FIFA 18""|""kad2mars""|""Up""|""down""|""fut""|""nouvel""|""an""|""chinois""|""tech""|""achat""|""revente""|""potm""|""AGUERO""|""tech59""|""investissement""|""ban""|""marche""|""transfert",3039,239,29,0,https://i.ytimg.com/vi/dniOUQAa1RA/default.jpg,False,False,False
52,hVmSgTPHIm4,18.14.02,"J'SUIS PAS CONTENT ! #137 : Matérialisme, Tian au caca & Christophe Colomb !",J'suis pas content TV,23,2018-02-12T18:47:39.000Z,"greg tabibian""|""jspc""|""j'suis pas content""|""le quotidien""|""france inter""|""humour""|""podcast""|""infogrammes""|""bruno bonnel""|""bruno bonnell""|""dominique tian""|""gérard collomb""|""neige""|""intempéries""|""verglas""|""québécois""|""québec""|""canada""|""france""|""actu""|""fraude fiscale""|""fraude sociale""|""cahuzac""|""nutella""|""carrefour""|""LREM""|""en marche""|""gouvernement""|""castaner""|""candy crush""|""francois ruffin""|""FI""|""france insoumise""|""assemblée nationale""|""burn out",55223,4021,26,692,https://i.ytimg.com/vi/hVmSgTPHIm4/default.jpg,False,False,False
53,60BlmwZddjA,18.14.02,JIREN LE FAIBLE ? LA SUITE DE DBS TEASÉ ?! DRAGON BALL SUPER,Afro Roshi,24,2018-02-13T17:00:00.000Z,"JIREN""|""DBS""|""DRAGON BALL SUPER""|""goku""|""toppo""|""ultra instinct""|""freezer""|""goku vs jiren""|""vegeta vs jiren""|""dbz""|""dragon ball super""|""frieza""|""anime""|""manga""|""review""|""afro roshi",29594,2708,67,572,https://i.ytimg.com/vi/60BlmwZddjA/default.jpg,False,False,False
54,uLywipzLMRY,18.14.02,MESSI CRAINT 4 JOUEURS POUR LE BALLON D'OR / BENZEMA INEFFICACE A CAUSE DE RONALDO ! AZI#131,ROBINHO,17,2018-02-13T14:30:03.000Z,"AZI#131""|""AZI""|""AFTER ZAP IMAGE""|""MESSI""|""RONALDO""|""CR7""|""BENZEMA""|""REAL MADRID""|""BARCA""|""CHELSEA""|""OL""|""OM""|""MARADONA""|""PSG""|""NEYMAR""|""MBAPPE""|""JUVENTUS""|""TOTTENHAM""|""MANCHESTER CITY""|""LIGUE DES CHAMPIONS""|""BALLON D'OR",12661,1015,19,136,https://i.ytimg.com/vi/uLywipzLMRY/default.jpg,False,False,False
55,_0P030vLjP4,18.14.02,Vous n’êtes pas anormal ou malade !,Franck Nicolas,26,2018-02-13T01:24:46.000Z,[none],9373,530,8,44,https://i.ytimg.com/vi/_0P030vLjP4/default.jpg,False,False,False
